V_adc_value,V_real_value,H_adc_value,H_real_value
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-3,-0.01171875,0,0.0
-2,-0.0078125,11,0.04296875
8,0.03125,6,0.0234375
-4,-0.015625,-2,-0.0078125
-3,-0.01171875,-4,-0.015625
-1,-0.00390625,-1,-0.00390625
-1,-0.00390625,-1,-0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
-3,-0.01171875,1,0.00390625
-10,-0.0390625,-1,-0.00390625
13,0.05078125000000001,2,0.0078125
7,0.02734375,0,0.0
-8,-0.03125,1,0.00390625
2,0.0078125,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,-1,-0.00390625
-3,-0.01171875,1,0.00390625
-2,-0.0078125,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
1,0.00390625,0,0.0
-3,-0.01171875,0,0.0
-103,-0.40234375000000006,-10,-0.0390625
251,0.98046875,0,0.0
128,0.5,76,0.296875
24,0.09375,14,0.0546875
21,0.08203125,-18,-0.07031250000000001
-9,-0.03515625000000001,-1,-0.00390625
-14,-0.0546875,5,0.01953125
3,0.01171875,-2,-0.0078125
-3,-0.01171875,-2,-0.0078125
-1,-0.00390625,1,0.00390625
-10,-0.0390625,1,0.00390625
-5,-0.01953125,1,0.00390625
-5,-0.01953125,-1,-0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-3,-0.01171875,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
3,0.01171875,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
5,0.01953125,0,0.0
0,0.0,-6,-0.0234375
4,0.015625,-3,-0.01171875
80,0.3125,12,0.046875
-40,-0.15625,-6,-0.0234375
23,0.08984375,-3,-0.01171875
4,0.015625,3,0.01171875
-4,-0.015625,2,0.0078125
8,0.03125,1,0.00390625
0,0.0,0,0.0
-7,-0.02734375,1,0.00390625
-6,-0.0234375,0,0.0
-4,-0.015625,0,0.0
2,0.0078125,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,1,0.00390625
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
-13,-0.05078125000000001,-2,-0.0078125
-8,-0.03125,3,0.01171875
-9,-0.03515625000000001,-9,-0.03515625000000001
-27,-0.10546875,5,0.01953125
11,0.04296875,1,0.00390625
-10,-0.0390625,-2,-0.0078125
-1,-0.00390625,0,0.0
-6,-0.0234375,2,0.0078125
-13,-0.05078125000000001,0,0.0
-3,-0.01171875,0,0.0
6,0.0234375,0,0.0
2,0.0078125,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-16,-0.0625,-19,-0.07421875
1,0.00390625,10,0.0390625
-10,-0.0390625,-4,-0.015625
-9,-0.03515625000000001,-2,-0.0078125
3,0.01171875,2,0.0078125
0,0.0,1,0.00390625
-2,-0.0078125,1,0.00390625
-4,-0.015625,1,0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-14,-0.0546875,-5,-0.01953125
0,0.0,-54,-0.2109375
92,0.359375,27,0.10546875
22,0.0859375,12,0.046875
-7,-0.02734375,-3,-0.01171875
-5,-0.01953125,-2,-0.0078125
1,0.00390625,1,0.00390625
1,0.00390625,0,0.0
-3,-0.01171875,0,0.0
1,0.00390625,0,0.0
0,0.0,0,0.0
-5,-0.01953125,-1,-0.00390625
-1,-0.00390625,1,0.00390625
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
-13,-0.05078125000000001,4,0.015625
4,0.015625,-1,-0.00390625
-12,-0.046875,-1,-0.00390625
-6,-0.0234375,-3,-0.01171875
-17,-0.06640625,-7,-0.02734375
167,0.65234375,11,0.04296875
-36,-0.14062500000000003,39,0.15234375
7,0.02734375,-5,-0.01953125
-1,-0.00390625,-9,-0.03515625000000001
-1,-0.00390625,62,0.2421875
14,0.0546875,113,0.44140625
466,1.8203125,-39,-0.15234375
9,0.03515625000000001,23,0.08984375
-51,-0.19921875000000003,14,0.0546875
82,0.3203125,6,0.0234375
41,0.16015625,31,0.12109375
-56,-0.21875,34,0.1328125
-42,-0.1640625,9,0.03515625000000001
-5,-0.01953125,-13,-0.05078125000000001
-10,-0.0390625,-8,-0.03125
4,0.015625,4,0.015625
2,0.0078125,2,0.0078125
2,0.0078125,1,0.00390625
-3,-0.01171875,0,0.0
0,0.0,3,0.01171875
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,1,0.00390625
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
2,0.0078125,3,0.01171875
2,0.0078125,-3,-0.01171875
-3,-0.01171875,2,0.0078125
-54,-0.2109375,5,0.01953125
-19,-0.07421875,-19,-0.07421875
-8,-0.03125,-1,-0.00390625
0,0.0,5,0.01953125
-2,-0.0078125,1,0.00390625
-3,-0.01171875,-1,-0.00390625
-2,-0.0078125,1,0.00390625
1,0.00390625,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,-1,-0.00390625
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
-3,-0.01171875,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
0,0.0,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
1,0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,-1,-0.00390625
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
1,0.00390625,0,0.0
0,0.0,2,0.0078125
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,-1,-0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
1,0.00390625,1,0.00390625
1,0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
0,0.0,0,0.0
-9,-0.03515625000000001,1,0.00390625
8,0.03125,-1,-0.00390625
-4,-0.015625,0,0.0
-5,-0.01953125,1,0.00390625
4,0.015625,0,0.0
2,0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,2,0.0078125
-3,-0.01171875,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
1,0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
1,0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-3,-0.01171875,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,1,0.00390625
-3,-0.01171875,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
1,0.00390625,1,0.00390625
0,0.0,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
1,0.00390625,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,1,0.00390625
-2,-0.0078125,-1,-0.00390625
-2,-0.0078125,20,0.078125
20,0.078125,-4,-0.015625
1,0.00390625,-4,-0.015625
-8,-0.03125,3,0.01171875
2,0.0078125,2,0.0078125
0,0.0,1,0.00390625
-1,-0.00390625,1,0.00390625
-3,-0.01171875,-1,-0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,-1,-0.00390625
-3,-0.01171875,3,0.01171875
-1,-0.00390625,-1,-0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,3,0.01171875
-1,-0.00390625,-1,-0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
1,0.00390625,1,0.00390625
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
2,0.0078125,0,0.0
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
-6,-0.0234375,0,0.0
-4,-0.015625,1,0.00390625
1,0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,1,0.00390625
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
1,0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
1,0.00390625,1,0.00390625
0,0.0,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
0,0.0,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,-1,-0.00390625
0,0.0,-1,-0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
-3,-0.01171875,1,0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-3,-0.01171875,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,1,0.00390625
